traceid,label,activity,user
1,normal,Create SC,Jamika
1,normal,Purchase SC,Paul
1,normal,Approve SC,Hugo
1,normal,Create PO,Ronald
1,normal,Release PO,Deloras
1,normal,Post GR,Micheline
1,normal,Post IR,Rossana
1,normal,Pay,Lannie
2,normal,Create SC,Jamika
2,normal,Purchase SC,Shandi
2,normal,Approve SC,Hugo
2,normal,Create PO,Keven
2,normal,Approve PO 1,Roseanne
2,normal,Release PO,Hassie
2,normal,Post GR,Velda
2,normal,Post IR,Brian
2,normal,Pay,Lannie
3,normal,Create SC,Jamika
3,normal,Purchase SC,Shandi
3,normal,Approve SC,Hugo
3,normal,Create PO,Wilton
3,normal,Approve PO 1,Issac
3,normal,Approve PO 2,Roseanne
3,normal,Release PO,Hassie
3,normal,Post GR,Velda
3,normal,Post IR,Brian
3,normal,Pay,Lannie
4,normal,Create SC,Jamika
4,normal,Purchase SC,Shandi
4,normal,Approve SC,Hugo
4,normal,Create PO,Keven
4,normal,Approve PO 1,Clayton
4,normal,Release PO,Hassie
4,normal,Post GR,Velda
4,normal,Post IR,Brian
4,normal,Pay,Lannie
5,normal,Create PR,Lisa
5,normal,Release PR,Evelin
5,normal,Create PO,Wilton
5,normal,Approve PO 1,Doretta
5,normal,Release PO,Hassie
5,normal,Post GR,Velda
5,normal,Post IR,Brian
5,normal,Pay,Lannie
6,normal,Create PR,Lisa
6,normal,Release PR,Evelin
6,normal,Create PO,Keven
6,normal,Approve PO 1,Issac
6,normal,Approve PO 2,Ryan
6,normal,Approve PO 3,Sherell
6,normal,Release PO,Hassie
6,normal,Post GR,Velda
6,normal,Post IR,Brian
6,normal,Pay,Lannie
7,anomaly,Create SC,Jamika
7,anomaly,Random activity 2,Random user 36
7,anomaly,Purchase SC,Paul
7,anomaly,Random activity 11,Random user 50
7,anomaly,Approve SC,Hugo
7,anomaly,Create PO,Ronald
7,anomaly,Release PO,Hassie
7,anomaly,Post GR,Velda
7,anomaly,Post IR,Brian
7,anomaly,Pay,Lannie
8,normal,Create SC,Jamika
8,normal,Purchase SC,Paul
8,normal,Approve SC,Hugo
8,normal,Create PO,Wilton
8,normal,Approve PO 1,Issac
8,normal,Approve PO 2,Seth
8,normal,Release PO,Hassie
8,normal,Post GR,Velda
8,normal,Post IR,Rossana
8,normal,Pay,Lannie
9,anomaly,Create SC,Jamika
9,anomaly,Purchase SC,Shandi
9,anomaly,Approve SC,Hugo
9,anomaly,Create PO,Ronald
9,anomaly,Release PO,Deloras
9,anomaly,Random activity 10,Random user 60
9,anomaly,Post GR,Lisa
9,anomaly,Post IR,Johnny
9,anomaly,Pay,Lannie
10,normal,Create PR,Lisa
10,normal,Release PR,Evelin
10,normal,Create PO,Ronald
10,normal,Release PO,Hassie
10,normal,Post GR,Velda
10,normal,Post IR,Rossana
10,normal,Pay,Lannie
11,normal,Create SC,Jamika
11,normal,Purchase SC,Paul
11,normal,Approve SC,Hugo
11,normal,Create PO,Ronald
11,normal,Release PO,Hassie
11,normal,Post GR,Velda
11,normal,Post IR,Rossana
11,normal,Pay,Lannie
12,anomaly,Create SC,Jamika
12,anomaly,Create PO,Ronald
12,anomaly,Purchase SC,Paul
12,anomaly,Approve SC,Hugo
12,anomaly,Release PO,Deloras
12,anomaly,Post GR,Doretta
12,anomaly,Post IR,Brian
12,anomaly,Pay,Lannie
13,anomaly,Create PR,Sonia
13,anomaly,Release PR,Evelin
13,anomaly,Post GR,Velda
13,anomaly,Post IR,Brian
13,anomaly,Create PO,Ronald
13,anomaly,Release PO,Hassie
13,anomaly,Pay,Lannie
14,normal,Create SC,Jamika
14,normal,Purchase SC,Shandi
14,normal,Approve SC,Hugo
14,normal,Create PO,Wilton
14,normal,Approve PO 1,Doretta
14,normal,Release PO,Hassie
14,normal,Post GR,Velda
14,normal,Post IR,Brian
14,normal,Pay,Lannie
15,anomaly,Create SC,Jamika
15,anomaly,Purchase SC,Paul
15,anomaly,Approve SC,Hugo
15,anomaly,Release PO,Grayce
15,anomaly,Post GR,Junior
15,anomaly,Create PO,Wilton
15,anomaly,Approve PO 1,Alpha
15,anomaly,Approve PO 2,Roseanne
15,anomaly,Post IR,Johnny
15,anomaly,Pay,Lannie
16,normal,Create SC,Jamika
16,normal,Purchase SC,Shandi
16,normal,Approve SC,Hugo
16,normal,Create PO,Ronald
16,normal,Release PO,Deloras
16,normal,Post GR,Jin
16,normal,Post IR,Howard
16,normal,Pay,Lannie
17,normal,Create SC,Jamika
17,normal,Purchase SC,Paul
17,normal,Approve SC,Hugo
17,normal,Create PO,Wilton
17,normal,Approve PO 1,Clayton
17,normal,Release PO,Hassie
17,normal,Post GR,Velda
17,normal,Post IR,Brian
17,normal,Pay,Lannie
18,normal,Create SC,Jamika
18,normal,Purchase SC,Shandi
18,normal,Approve SC,Hugo
18,normal,Create PO,Ronald
18,normal,Release PO,Deloras
18,normal,Post GR,Jack
18,normal,Post IR,Howard
18,normal,Pay,Lannie
19,normal,Create SC,Jamika
19,normal,Purchase SC,Shandi
19,normal,Approve SC,Hugo
19,normal,Create PO,Wilton
