traceid,label,activity,user
1,anomaly,Create PR,Josef
1,anomaly,Release PR,Jack
1,anomaly,Create PO,Seth
1,anomaly,Approve PO 1,Brian
1,anomaly,Approve PO 2,Sharee
1,anomaly,Approve PO 3,Jamika
1,anomaly,Release PO,Sonia
1,anomaly,Pay,Josef
2,normal,Create SC,Gema
2,normal,Purchase SC,Hannah
2,normal,Approve SC,Josef
2,normal,Create PO,Hannah
2,normal,Release PO,Emily
2,normal,Post GR,Jack
2,normal,Post IR,Lucy
2,normal,Pay,Josef
3,normal,Create PR,Josef
3,normal,Release PR,Lourdes
3,normal,Create PO,Grayce
3,normal,Approve PO 1,Jamika
3,normal,Approve PO 2,Iluminada
3,normal,Release PO,Iluminada
3,normal,Post GR,Evelin
3,normal,Post IR,Rossie
3,normal,Pay,Josef
4,normal,Create PR,Donald
4,normal,Release PR,Jack
4,normal,Create PO,Carmella
4,normal,Release PO,Melany
4,normal,Post GR,Alpha
4,normal,Post IR,Sigrid
4,normal,Pay,Roy
5,anomaly,Create PR,Donald
5,anomaly,Release PR,Jack
5,anomaly,Create PO,Carmella
5,anomaly,Post IR,Rossie
5,anomaly,Pay,Josef
6,anomaly,Create PR,Donald
6,anomaly,Release PR,Jack
6,anomaly,Create PO,Brian
6,anomaly,Random activity 3,Random user 51
6,anomaly,Release PO,Rossana
6,anomaly,Random activity 4,Random user 49
6,anomaly,Post GR,Hannah
6,anomaly,Post IR,Shandi
6,anomaly,Pay,Evelin
7,normal,Create PR,Josef
7,normal,Release PR,Jack
7,normal,Create PO,Alpha
7,normal,Approve PO 1,Lourdes
7,normal,Approve PO 2,Hassie
7,normal,Approve PO 3,Ryan
7,normal,Release PO,Melany
7,normal,Post GR,Lisa
7,normal,Post IR,Lisa
7,normal,Pay,Roy
8,normal,Create PR,Josef
8,normal,Release PR,Lourdes
8,normal,Create PO,Alpha
8,normal,Approve PO 1,Issac
8,normal,Approve PO 2,Hassie
8,normal,Approve PO 3,Ryan
8,normal,Release PO,Hugo
8,normal,Post GR,Hannah
8,normal,Post IR,Shandi
8,normal,Pay,Evelin
9,normal,Create PR,Josef
9,normal,Release PR,Lourdes
9,normal,Create PO,Alpha
9,normal,Approve PO 1,Issac
9,normal,Approve PO 2,Iluminada
9,normal,Release PO,Lucy
9,normal,Post GR,Brant
9,normal,Post IR,Sherlene
9,normal,Pay,Roy
10,normal,Create PR,Josef
10,normal,Release PR,Lourdes
10,normal,Create PO,Alpha
10,normal,Approve PO 1,Anna
10,normal,Release PO,Hugo
10,normal,Post GR,Hannah
10,normal,Post IR,Grayce
10,normal,Pay,Evelin
11,anomaly,Create PR,Josef
11,anomaly,Release PR,Lourdes
11,anomaly,Create PO,Micheline
11,anomaly,Release PO,Melany
11,anomaly,Post GR,Brant
11,anomaly,Post IR,Lucy
11,anomaly,Pay,Josef
11,anomaly,Create PR,Josef
11,anomaly,Release PR,Lourdes
12,normal,Create PR,Josef
12,normal,Release PR,Jack
12,normal,Create PO,Micheline
12,normal,Release PO,Hugo
12,normal,Post GR,Hannah
12,normal,Post IR,Sherlene
12,normal,Pay,Steve
13,normal,Create PR,Josef
13,normal,Release PR,Lourdes
13,normal,Create PO,Keven
13,normal,Release PO,Emily
13,normal,Post GR,Jack
13,normal,Post IR,Grayce
13,normal,Pay,Evelin
14,normal,Create PR,Josef
14,normal,Release PR,Lourdes
14,normal,Create PO,Micheline
14,normal,Release PO,Hugo
14,normal,Post GR,Hannah
14,normal,Post IR,Grayce
14,normal,Pay,Evelin
15,normal,Create PR,Josef
15,normal,Release PR,Lourdes
15,normal,Create PO,Hannah
15,normal,Release PO,Emily
15,normal,Post GR,Hannah
15,normal,Post IR,Lucy
15,normal,Pay,Josef
16,normal,Create PR,Donald
16,normal,Release PR,Lourdes
16,normal,Create PO,Alpha
16,normal,Approve PO 1,Jamika
16,normal,Approve PO 2,Iluminada
16,normal,Release PO,Sonia
16,normal,Post GR,Hannah
16,normal,Post IR,Rossie
16,normal,Pay,Josef
17,anomaly,Create PR,Josef
17,anomaly,Release PR,Lourdes
17,anomaly,Create PO,Micheline
17,anomaly,Post IR,Alpha
17,anomaly,Release PO,Jamika
17,anomaly,Post GR,Lisa
17,anomaly,Pay,Steve
18,normal,Create PR,Josef
18,normal,Release PR,Lourdes
18,normal,Create PO,Micheline
18,normal,Release PO,Melany
18,normal,Post GR,Lisa
18,normal,Post IR,Alpha
18,normal,Pay,Roy
19,normal,Create PR,Donald
19,normal,Release PR,Lourdes
19,normal,Create PO,Seth
19,normal,Approve PO 1,Rossana
19,normal,Release PO,Iluminada
19,normal,Post GR,Hannah
19,normal,Post IR,Grayce
19,normal,Pay,Evelin
