traceid,label,activity,user
1,anomaly,Create SC,Deloras
1,anomaly,Purchase SC,Amanda
1,anomaly,Approve PO 1,Jin
1,anomaly,Approve PO 2,Sandra
1,anomaly,Release PO,Hannah
1,anomaly,Approve SC,Earl
1,anomaly,Create PO,Grayce
1,anomaly,Post GR,Gema
1,anomaly,Post IR,Amanda
1,anomaly,Pay,Seth
2,normal,Create SC,Deloras
2,normal,Purchase SC,Amanda
2,normal,Approve SC,Earl
2,normal,Create PO,Grayce
2,normal,Approve PO 1,Grayce
2,normal,Release PO,Hannah
2,normal,Post GR,Sharee
2,normal,Post IR,Lannie
2,normal,Pay,Elisha
3,anomaly,Create SC,Jamika
3,anomaly,Purchase SC,Amanda
3,anomaly,Post GR,Sharee
3,anomaly,Approve SC,Earl
3,anomaly,Create PO,Ryan
3,anomaly,Release PO,Hannah
3,anomaly,Post IR,Lannie
3,anomaly,Pay,Elisha
4,normal,Create SC,Deloras
4,normal,Purchase SC,Amanda
4,normal,Approve SC,Earl
4,normal,Create PO,Maryellen
4,normal,Release PO,Hannah
4,normal,Post GR,Gema
4,normal,Post IR,Ronald
4,normal,Pay,Seth
5,normal,Create SC,Jamika
5,normal,Purchase SC,Amanda
5,normal,Approve SC,Earl
5,normal,Create PO,Ryan
5,normal,Release PO,Hannah
5,normal,Post GR,Gema
5,normal,Post IR,Ling
5,normal,Pay,Seth
6,normal,Create SC,Jamika
6,normal,Purchase SC,Amanda
6,normal,Approve SC,Earl
6,normal,Create PO,Maryellen
6,normal,Release PO,Doretta
6,normal,Post GR,Sharee
6,normal,Post IR,Hassie
6,normal,Pay,Pam
7,normal,Create SC,Deloras
7,normal,Purchase SC,Amanda
7,normal,Approve SC,Earl
7,normal,Create PO,Maryellen
7,normal,Release PO,Doretta
7,normal,Post GR,Gema
7,normal,Post IR,Ronald
7,normal,Pay,Seth
8,normal,Create SC,Deloras
8,normal,Purchase SC,Amanda
8,normal,Approve SC,Earl
8,normal,Create PO,Ryan
8,normal,Release PO,Hannah
8,normal,Post GR,Gema
8,normal,Post IR,Ling
8,normal,Pay,Seth
9,anomaly,Create SC,Deloras
9,anomaly,Purchase SC,Amanda
9,anomaly,Approve SC,Earl
9,anomaly,Create PO,Grayce
9,anomaly,Approve PO 1,Anna
9,anomaly,Release PO,Brian
9,anomaly,Post GR,Roseanne
9,anomaly,Post IR,Ling
9,anomaly,Approve PO 1,Anna
9,anomaly,Release PO,Brian
9,anomaly,Pay,Seth
10,anomaly,Create SC,Deloras
10,anomaly,Purchase SC,Amanda
10,anomaly,Approve SC,Earl
10,anomaly,Create PO,Maryellen
10,anomaly,Purchase SC,Amanda
10,anomaly,Approve SC,Earl
10,anomaly,Release PO,Hannah
10,anomaly,Post GR,Sharee
10,anomaly,Post IR,Hassie
10,anomaly,Pay,Gema
11,normal,Create SC,Jamika
11,normal,Purchase SC,Amanda
11,normal,Approve SC,Earl
11,normal,Create PO,Grayce
11,normal,Approve PO 1,Jin
11,normal,Approve PO 2,Brant
11,normal,Release PO,Brian
11,normal,Post GR,Roseanne
11,normal,Post IR,Ronald
11,normal,Pay,Seth
12,anomaly,Release PO,Hannah
12,anomaly,Post GR,Gema
12,anomaly,Create SC,Deloras
12,anomaly,Purchase SC,Amanda
12,anomaly,Approve SC,Earl
12,anomaly,Create PO,Sherell
12,anomaly,Post IR,Amanda
12,anomaly,Pay,Seth
13,normal,Create PR,Lannie
13,normal,Release PR,Iluminada
13,normal,Create PO,Lucy
13,normal,Release PO,Hannah
13,normal,Post GR,Gema
13,normal,Post IR,Ling
13,normal,Pay,Seth
14,normal,Create SC,Deloras
14,normal,Purchase SC,Amanda
14,normal,Approve SC,Earl
14,normal,Create PO,Ryan
14,normal,Release PO,Hannah
14,normal,Post GR,Clayton
14,normal,Post IR,Ling
14,normal,Pay,Seth
15,normal,Create SC,Deloras
15,normal,Purchase SC,Amanda
15,normal,Approve SC,Earl
15,normal,Create PO,Ryan
15,normal,Release PO,Hannah
15,normal,Post GR,Gema
15,normal,Post IR,Ling
15,normal,Pay,Seth
16,normal,Create SC,Deloras
16,normal,Purchase SC,Amanda
16,normal,Approve SC,Earl
16,normal,Create PO,Ryan
16,normal,Release PO,Hannah
16,normal,Post GR,Gema
16,normal,Post IR,Amanda
16,normal,Pay,Seth
17,normal,Create SC,Deloras
17,normal,Purchase SC,Amanda
17,normal,Approve SC,Earl
17,normal,Create PO,Grayce
