traceid,label,activity,user
1,normal,Create SC,Seth
1,normal,Purchase SC,Lucy
1,normal,Approve SC,Sandra
1,normal,Create PO,Josef
1,normal,Release PO,Carmella
1,normal,Post GR,Carmella
1,normal,Post IR,Roy
1,normal,Pay,Vickie
2,normal,Create SC,Alyce
2,normal,Purchase SC,Lucy
2,normal,Approve SC,Micheline
2,normal,Create PO,Josef
2,normal,Release PO,Hugo
2,normal,Post GR,James
2,normal,Post IR,Roy
2,normal,Pay,Elisha
3,anomaly,Release PO,Shandi
3,anomaly,Post GR,Lourdes
3,anomaly,Create SC,Seth
3,anomaly,Purchase SC,Hassie
3,anomaly,Approve SC,Micheline
3,anomaly,Create PO,Evelin
3,anomaly,Post IR,Chan
3,anomaly,Pay,Josef
4,normal,Create PR,Keven
4,normal,Release PR,Donald
4,normal,Create PO,Alyce
4,normal,Release PO,Carmella
4,normal,Post GR,Keven
4,normal,Post IR,Roy
4,normal,Pay,Elisha
5,normal,Create PR,Keven
5,normal,Release PR,Donald
5,normal,Create PO,Donald
5,normal,Release PO,Hugo
5,normal,Post GR,Carmella
5,normal,Post IR,Chan
5,normal,Pay,Sherlene
6,anomaly,Create PR,Keven
6,anomaly,Release PR,Donald
6,anomaly,Create PO,Josef
6,anomaly,Approve PO 1,Steve
6,anomaly,Approve PO 2,Roseanne
6,anomaly,Approve PO 3,Jin
6,anomaly,Release PO,Junior
6,anomaly,Post GR,Jin
6,anomaly,Pay,Elisha
7,normal,Create PR,Keven
7,normal,Release PR,Donald
7,normal,Create PO,Josef
7,normal,Approve PO 1,Evelin
7,normal,Approve PO 2,Elisha
7,normal,Release PO,Della
7,normal,Post GR,Keven
7,normal,Post IR,Chan
7,normal,Pay,Josef
8,normal,Create PR,Keven
8,normal,Release PR,Donald
8,normal,Create PO,Alyce
8,normal,Release PO,Hugo
8,normal,Post GR,James
8,normal,Post IR,Chan
8,normal,Pay,Josef
9,normal,Create PR,Keven
9,normal,Release PR,Donald
9,normal,Create PO,Alyce
9,normal,Release PO,Elisha
9,normal,Post GR,Anna
9,normal,Post IR,Chan
9,normal,Pay,Josef
10,normal,Create PR,Keven
10,normal,Release PR,Donald
10,normal,Create PO,Lisa
10,normal,Approve PO 1,Steve
10,normal,Approve PO 2,Brian
10,normal,Approve PO 3,Jin
10,normal,Release PO,Junior
10,normal,Post GR,Keven
10,normal,Post IR,Roy
10,normal,Pay,Vickie
11,normal,Create PR,Keven
11,normal,Release PR,Donald
11,normal,Create PO,Alyce
11,normal,Release PO,Shandi
11,normal,Post GR,Lourdes
11,normal,Post IR,Roy
11,normal,Pay,Vickie
12,normal,Create SC,Alyce
12,normal,Purchase SC,Paul
12,normal,Approve SC,Sandra
12,normal,Create PO,Josef
12,normal,Release PO,Carmella
12,normal,Post GR,Jin
12,normal,Post IR,Chan
12,normal,Pay,Josef
13,anomaly,Create PR,Keven
13,anomaly,Release PR,Donald
13,anomaly,Create PO,Ling
13,anomaly,Approve PO 2,Roy
13,anomaly,Release PO,Grayce
13,anomaly,Post GR,Anna
13,anomaly,Post IR,Chan
13,anomaly,Pay,Josef
14,normal,Create SC,Alyce
14,normal,Purchase SC,Hassie
14,normal,Approve SC,Sandra
14,normal,Create PO,Josef
14,normal,Release PO,Shandi
14,normal,Post GR,Lourdes
14,normal,Post IR,Roy
14,normal,Pay,Vickie
15,anomaly,Create SC,Seth
15,anomaly,Purchase SC,Lucy
15,anomaly,Approve SC,Sandra
15,anomaly,Create PO,Sonia
15,anomaly,Release PO,Elisha
15,anomaly,Post GR,Anna
15,anomaly,Post IR,Chan
15,anomaly,Pay,Josef
16,normal,Create PR,Keven
16,normal,Release PR,Donald
16,normal,Create PO,Alyce
16,normal,Release PO,Shandi
16,normal,Post GR,Lourdes
16,normal,Post IR,Roy
16,normal,Pay,Elisha
17,normal,Create SC,Alyce
17,normal,Purchase SC,Lucy
17,normal,Approve SC,Sandra
17,normal,Create PO,Josef
17,normal,Release PO,Craig
17,normal,Post GR,Lourdes
17,normal,Post IR,Roy
17,normal,Pay,Vickie
18,normal,Create SC,Alyce
18,normal,Purchase SC,Lucy
18,normal,Approve SC,Micheline
18,normal,Create PO,Evelin
18,normal,Release PO,Craig
18,normal,Post GR,James
18,normal,Post IR,Roy
18,normal,Pay,Elisha
19,normal,Create PR,Keven
19,normal,Release PR,Donald
19,normal,Create PO,Howard
19,normal,Release PO,Craig
19,normal,Post GR,James
19,normal,Post IR,Roy
19,normal,Pay,Elisha
20,normal,Create SC,Alyce
20,normal,Purchase SC,Hassie
20,normal,Approve SC,Sandra
20,normal,Create PO,Evelin
20,normal,Release PO,Lannie
20,normal,Post GR,James
20,normal,Post IR,Roy
20,normal,Pay,Vickie
21,normal,Create PR,Keven
21,normal,Release PR,Donald
21,normal,Create PO,Ling
21,normal,Approve PO 1,Donald
21,normal,Release PO,Della
21,normal,Post GR,Keven
21,normal,Post IR,Roy
21,normal,Pay,Elisha
22,anomaly,Create SC,Alyce
22,anomaly,Purchase SC,Lucy
22,anomaly,Approve SC,Micheline
22,anomaly,Random activity 8,Random user 28
22,anomaly,Create PO,Josef
22,anomaly,Release PO,Elisha
22,anomaly,Post GR,Anna
22,anomaly,Random activity 6,Random user 34
22,anomaly,Post IR,Chan
22,anomaly,Pay,Josef
23,anomaly,Create PR,Keven
23,anomaly,Release PR,Donald
23,anomaly,Create PO,Ling
23,anomaly,Post GR,Carmella
23,anomaly,Post IR,Roy
23,anomaly,Approve PO 1,Johnny
23,anomaly,Release PO,Della
23,anomaly,Pay,Vickie
24,anomaly,Create PR,Keven
24,anomaly,Create PO,Alyce
24,anomaly,Release PO,Craig
24,anomaly,Post GR,James
24,anomaly,Post IR,Chan
24,anomaly,Pay,Josef
25,normal,Create PR,Keven
25,normal,Release PR,Donald
25,normal,Create PO,Lisa
25,normal,Approve PO 1,Clayton
25,normal,Approve PO 2,Brant
25,normal,Approve PO 3,Amanda
25,normal,Release PO,Della
25,normal,Post GR,Keven
25,normal,Post IR,Roy
25,normal,Pay,Vickie
26,anomaly,Create SC,Alyce
26,anomaly,Purchase SC,Lucy
26,anomaly,Approve SC,Sandra
26,anomaly,Release PO,Shandi
26,anomaly,Create PO,Josef
26,anomaly,Post GR,Lourdes
26,anomaly,Post IR,Chan
26,anomaly,Pay,Josef
27,anomaly,Create PR,Keven
27,anomaly,Create PO,Alyce
27,anomaly,Release PO,Craig
27,anomaly,Post GR,Keven
27,anomaly,Post IR,Roy
27,anomaly,Pay,Vickie
28,normal,Create PR,Keven
28,normal,Release PR,Donald
28,normal,Create PO,Josef
28,normal,Approve PO 1,Ryan
28,normal,Approve PO 2,Elisha
28,normal,Release PO,Della
28,normal,Post GR,Carmella
28,normal,Post IR,Chan
28,normal,Pay,Josef
29,anomaly,Create PR,Keven
29,anomaly,Release PR,Donald
29,anomaly,Create PO,Alyce
29,anomaly,Release PO,Craig
29,anomaly,Post GR,James
29,anomaly,Release PO,Craig
29,anomaly,Post GR,James
29,anomaly,Post IR,Roy
29,anomaly,Pay,Vickie
30,anomaly,Post GR,Keven
30,anomaly,Post IR,Chan
30,anomaly,Create PR,Keven
30,anomaly,Release PR,Donald
30,anomaly,Create PO,Alyce
30,anomaly,Release PO,Craig
30,anomaly,Pay,Josef
31,normal,Create PR,Keven
31,normal,Release PR,Donald
31,normal,Create PO,Josef
31,normal,Approve PO 1,Johnny
31,normal,Release PO,Tiffiny
31,normal,Post GR,Lourdes
31,normal,Post IR,Roy
31,normal,Pay,Elisha
32,normal,Create PR,Keven
32,normal,Release PR,Donald
32,normal,Create PO,Alyce
32,normal,Release PO,Elisha
32,normal,Post GR,Anna
32,normal,Post IR,Roy
32,normal,Pay,Vickie
33,anomaly,Create PR,Keven
33,anomaly,Release PR,Donald
33,anomaly,Create PO,Alyce
33,anomaly,Random activity 8,Random user 63
33,anomaly,Release PO,Hugo
33,anomaly,Post GR,James
33,anomaly,Random activity 1,Random user 25
33,anomaly,Post IR,Roy
33,anomaly,Pay,Elisha
34,normal,Create SC,Alyce
34,normal,Purchase SC,Lucy
34,normal,Approve SC,Micheline
34,normal,Create PO,Josef
34,normal,Release PO,Carmella
34,normal,Post GR,James
34,normal,Post IR,Roy
34,normal,Pay,Vickie
35,anomaly,Create SC,Alyce
35,anomaly,Purchase SC,Lucy
35,anomaly,Approve SC,Sandra
35,anomaly,Create PO,Josef
35,anomaly,Release PO,Carmella
35,anomaly,Post GR,Carmella
35,anomaly,Post IR,Chan
35,anomaly,Create SC,Alyce
35,anomaly,Purchase SC,Lucy
35,anomaly,Approve SC,Sandra
35,anomaly,Pay,Josef
36,normal,Create PR,Keven
36,normal,Release PR,Donald
36,normal,Create PO,Alyce
36,normal,Release PO,Carmella
36,normal,Post GR,Keven
36,normal,Post IR,Roy
36,normal,Pay,Elisha
37,normal,Create PR,Keven
37,normal,Release PR,Donald
37,normal,Create PO,Lisa
37,normal,Approve PO 1,Donald
